factura_numero,fecha_venta,local_codigo,total_bruto,total_impuestos,total_neto,comprobante,hora_transaccion
11357,2023-07-04,L003,111.02,10.09,100.93,BE-11357,14:14:32
11358,2023-07-05,L001,430.71,39.16,391.55,BE-11358,14:08:57
11359,2023-07-05,L001,275.08,25.01,250.07,BE-11359,20:20:47
11360,2023-07-05,L001,410.70,37.34,373.36,BE-11360,17:51:28
11361,2023-07-05,L001,312.71,28.43,284.28,BE-11361,11:25:52
11362,2023-07-05,L002,145.88,13.26,132.62,BE-11362,13:59:14
11363,2023-07-05,L002,271.00,24.64,246.36,BE-11363,19:57:41
11364,2023-07-05,L002,350.19,31.84,318.35,BE-11364,11:09:22
11365,2023-07-05,L003,371.76,33.80,337.96,BE-11365,18:39:04
11366,2023-07-05,L003,478.21,43.47,434.74,BE-11366,15:18:59
11367,2023-07-05,L003,187.78,17.07,170.71,BE-11367,13:46:40
11368,2023-07-05,L003,231.19,21.02,210.17,BE-11368,17:12:49
11369,2023-07-05,L003,56.57,5.14,51.43,BE-11369,18:38:32
11370,2023-07-06,L001,209.84,19.08,190.76,BE-11370,15:25:47
11371,2023-07-06,L001,459.95,41.81,418.14,BE-11371,14:03:53
11372,2023-07-06,L002,136.58,12.42,124.16,BE-11372,15:45:29
11373,2023-07-06,L002,502.59,45.69,456.90,BE-11373,17:07:03
11374,2023-07-06,L002,519.41,47.22,472.19,BE-11374,11:14:44
11375,2023-07-06,L002,337.41,30.67,306.74,BE-11375,17:45:22
11376,2023-07-06,L003,510.72,46.43,464.29,BE-11376,17:54:20
11377,2023-07-07,L001,351.33,31.94,319.39,BE-11377,20:40:56
11378,2023-07-07,L001,300.38,27.31,273.07,BE-11378,20:22:50
11379,2023-07-07,L001,172.60,15.69,156.91,BE-11379,16:56:38
11380,2023-07-07,L001,454.52,41.32,413.20,BE-11380,10:02:47
11381,2023-07-07,L002,297.76,27.07,270.69,BE-11381,21:26:04
11382,2023-07-07,L002,31.34,2.85,28.49,BE-11382,19:29:42
11383,2023-07-07,L002,285.32,25.94,259.38,BE-11383,21:18:57
11384,2023-07-07,L002,220.17,20.02,200.15,BE-11384,20:36:43
11385,2023-07-07,L003,345.58,31.42,314.16,BE-11385,16:16:48
11386,2023-07-07,L003,230.79,20.98,209.81,BE-11386,14:32:07
11387,2023-07-08,L001,28.67,2.61,26.06,BE-11387,15:13:37
11388,2023-07-08,L002,218.76,19.89,198.87,BE-11388,12:39:24
11389,2023-07-08,L002,140.64,12.79,127.85,BE-11389,14:48:23
11390,2023-07-08,L002,323.53,29.41,294.12,BE-11390,14:28:01
11391,2023-07-08,L003,211.84,19.26,192.58,BE-11391,20:02:37
11392,2023-07-08,L003,377.66,34.33,343.33,BE-11392,20:11:33
11393,2023-07-08,L003,531.61,48.33,483.28,BE-11393,19:42:39
11394,2023-07-08,L003,422.66,38.42,384.24,BE-11394,12:07:29
11395,2023-07-08,L003,187.59,17.05,170.54,BE-11395,11:02:58
11396,2023-07-09,L001,271.35,24.67,246.68,BE-11396,15:13:20
11397,2023-07-09,L001,222.66,20.24,202.42,BE-11397,10:37:27
11398,2023-07-09,L001,276.01,25.09,250.92,BE-11398,20:07:17
11399,2023-07-09,L001,441.16,40.11,401.05,BE-11399,15:46:39
11400,2023-07-09,L002,461.32,41.94,419.38,BE-11400,20:47:24
11401,2023-07-09,L002,73.04,6.64,66.40,BE-11401,15:58:10
11402,2023-07-09,L003,166.65,15.15,151.50,BE-11402,11:14:49
11403,2023-07-09,L003,394.98,35.91,359.07,BE-11403,16:23:01
11404,2023-07-09,L003,244.70,22.25,222.45,BE-11404,18:42:07
11405,2023-07-10,L001,79.20,7.20,72.00,BE-11405,17:05:38
11406,2023-07-10,L002,382.22,34.75,347.47,BE-11406,11:11:58
11407,2023-07-10,L002,287.47,26.13,261.34,BE-11407,14:00:22
11408,2023-07-10,L002,69.27,6.30,62.97,BE-11408,18:54:11
11409,2023-07-10,L002,425.81,38.71,387.10,BE-11409,19:54:45
11410,2023-07-10,L002,480.38,43.67,436.71,BE-11410,21:36:03
11411,2023-07-10,L003,246.36,22.40,223.96,BE-11411,18:12:39
11412,2023-07-10,L003,337.92,30.72,307.20,BE-11412,15:04:11
11413,2023-07-11,L001,121.51,11.05,110.46,BE-11413,19:18:47
11414,2023-07-11,L001,220.87,20.08,200.79,BE-11414,14:41:19
11415,2023-07-11,L001,197.92,17.99,179.93,BE-11415,13:29:14
11416,2023-07-11,L001,77.10,7.01,70.09,BE-11416,15:01:07
11417,2023-07-11,L001,51.04,4.64,46.40,BE-11417,16:05:09
11418,2023-07-11,L003,279.74,25.43,254.31,BE-11418,10:38:19
11419,2023-07-11,L003,501.41,45.58,455.83,BE-11419,10:24:28
11420,2023-07-12,L001,451.63,41.06,410.57,BE-11420,18:38:05
11421,2023-07-12,L001,97.00,8.82,88.18,BE-11421,18:09:07
11422,2023-07-12,L001,441.43,40.13,401.30,BE-11422,19:27:48
11423,2023-07-12,L001,537.67,48.88,488.79,BE-11423,14:16:46
11424,2023-07-12,L001,411.22,37.38,373.84,BE-11424,21:45:08
11425,2023-07-12,L002,255.57,23.23,232.34,BE-11425,14:22:19
11426,2023-07-12,L002,312.40,28.40,284.00,BE-11426,11:37:33
11427,2023-07-12,L002,135.14,12.29,122.85,BE-11427,14:16:07
11428,2023-07-12,L002,178.27,16.21,162.06,BE-11428,18:10:17
11429,2023-07-12,L003,122.67,11.15,111.52,BE-11429,15:28:02
11430,2023-07-12,L003,153.34,13.94,139.40,BE-11430,11:33:36
11431,2023-07-12,L003,524.87,47.72,477.15,BE-11431,16:00:55
11432,2023-07-12,L003,488.92,44.45,444.47,BE-11432,12:13:43
11433,2023-07-12,L003,224.41,20.40,204.01,BE-11433,11:04:14
11434,2023-07-13,L001,523.33,47.58,475.75,BE-11434,19:50:42
11435,2023-07-13,L001,397.11,36.10,361.01,BE-11435,16:59:01
11436,2023-07-13,L002,394.46,35.86,358.60,BE-11436,16:31:22
11437,2023-07-13,L002,361.19,32.84,328.35,BE-11437,11:35:50
11438,2023-07-13,L003,462.00,42.00,420.00,BE-11438,14:28:18
11439,2023-07-13,L003,340.67,30.97,309.70,BE-11439,15:11:18
11440,2023-07-13,L003,38.78,3.53,35.25,BE-11440,21:36:51
11441,2023-07-13,L003,192.50,17.50,175.00,BE-11441,13:32:59
11442,2023-07-13,L003,114.63,10.42,104.21,BE-11442,10:22:51
11443,2023-07-14,L001,186.60,16.96,169.64,BE-11443,10:19:43
11444,2023-07-14,L001,44.16,4.01,40.15,BE-11444,12:03:09
11445,2023-07-14,L001,345.63,31.42,314.21,BE-11445,17:34:10
11446,2023-07-14,L002,296.93,26.99,269.94,BE-11446,19:32:15
11447,2023-07-14,L002,37.05,3.37,33.68,BE-11447,18:13:20
11448,2023-07-14,L002,133.34,12.12,121.22,BE-11448,17:47:08
11449,2023-07-14,L002,135.52,12.32,123.20,BE-11449,10:22:57
11450,2023-07-14,L002,451.56,41.05,410.51,BE-11450,19:01:40
11451,2023-07-14,L003,278.41,25.31,253.10,BE-11451,12:50:32
11452,2023-07-14,L003,429.45,39.04,390.41,BE-11452,18:19:41
11453,2023-07-14,L003,405.06,36.82,368.24,BE-11453,10:45:08
11454,2023-07-15,L001,495.42,45.04,450.38,BE-11454,12:43:02
11455,2023-07-15,L001,90.11,8.19,81.92,BE-11455,17:33:29
11456,2023-07-15,L001,422.31,38.39,383.92,BE-11456,20:29:57
11457,2023-07-15,L001,529.11,48.10,481.01,BE-11457,10:39:35
11458,2023-07-15,L003,103.61,9.42,94.19,BE-11458,15:42:33
11459,2023-07-15,L003,410.30,37.30,373.00,BE-11459,17:33:51
11460,2023-07-15,L003,431.72,39.25,392.47,BE-11460,16:10:57
11461,2023-07-15,L003,297.26,27.02,270.24,BE-11461,17:21:59
11462,2023-07-15,L003,37.92,3.45,34.47,BE-11462,20:09:15
11463,2023-07-16,L001,222.06,20.19,201.87,BE-11463,19:17:21
11464,2023-07-16,L002,389.90,35.45,354.45,BE-11464,19:26:56
11465,2023-07-16,L002,358.04,32.55,325.49,BE-11465,13:19:15
11466,2023-07-16,L002,258.84,23.53,235.31,BE-11466,16:59:48
11467,2023-07-16,L002,507.50,46.14,461.36,BE-11467,17:23:15
11468,2023-07-16,L003,447.95,40.72,407.23,BE-11468,17:46:26
11469,2023-07-16,L003,151.61,13.78,137.83,BE-11469,11:53:24
11470,2023-07-16,L003,22.87,2.08,20.79,BE-11470,19:01:47
11471,2023-07-16,L003,58.67,5.33,53.34,BE-11471,10:23:23
11472,2023-07-17,L001,411.73,37.43,374.30,BE-11472,13:23:23
11473,2023-07-17,L001,239.38,21.76,217.62,BE-11473,12:30:00
11474,2023-07-17,L001,168.11,15.28,152.83,BE-11474,17:32:03
11475,2023-07-17,L001,483.25,43.93,439.32,BE-11475,15:24:53
11476,2023-07-17,L001,533.52,48.50,485.02,BE-11476,15:49:43
11477,2023-07-17,L002,123.75,11.25,112.50,BE-11477,18:13:58
11478,2023-07-17,L003,136.21,12.38,123.83,BE-11478,15:18:50
11479,2023-07-17,L003,432.83,39.35,393.48,BE-11479,13:45:36
11480,2023-07-17,L003,508.77,46.25,462.52,BE-11480,21:43:28
11481,2023-07-17,L003,256.03,23.28,232.75,BE-11481,15:52:19
11482,2023-07-17,L003,338.14,30.74,307.40,BE-11482,18:01:54
11483,2023-07-18,L001,527.22,47.93,479.29,BE-11483,12:24:00
11484,2023-07-18,L001,133.01,12.09,120.92,BE-11484,21:44:01
11485,2023-07-18,L001,348.99,31.73,317.26,BE-11485,15:24:02
11486,2023-07-18,L001,91.89,8.35,83.54,BE-11486,21:45:50
11487,2023-07-18,L001,35.85,3.26,32.59,BE-11487,20:41:07
11488,2023-07-18,L002,53.80,4.89,48.91,BE-11488,21:42:04
11489,2023-07-18,L003,541.02,49.18,491.84,BE-11489,16:23:46
11490,2023-07-18,L003,278.91,25.36,253.55,BE-11490,16:16:04
11491,2023-07-18,L003,132.35,12.03,120.32,BE-11491,16:38:01
11492,2023-07-18,L003,378.88,34.44,344.44,BE-11492,10:40:33
11493,2023-07-19,L001,144.75,13.16,131.59,BE-11493,15:39:25
11494,2023-07-19,L003,542.95,49.36,493.59,BE-11494,14:13:39
11495,2023-07-19,L003,340.77,30.98,309.79,BE-11495,13:16:42
11496,2023-07-19,L003,385.58,35.05,350.53,BE-11496,18:01:50
11497,2023-07-19,L003,200.67,18.24,182.43,BE-11497,19:59:41
11498,2023-07-19,L003,522.49,47.50,474.99,BE-11498,11:01:46
11499,2023-07-20,L001,54.41,4.95,49.46,BE-11499,18:42:54
11500,2023-07-20,L001,252.63,22.97,229.66,BE-11500,19:39:51
11501,2023-07-20,L002,30.48,2.77,27.71,BE-11501,20:19:21
11502,2023-07-20,L002,425.00,38.64,386.36,BE-11502,21:21:56
11503,2023-07-20,L003,193.19,17.56,175.63,BE-11503,14:45:42
11504,2023-07-20,L003,319.52,29.05,290.47,BE-11504,18:45:51
11505,2023-07-20,L003,455.58,41.42,414.16,BE-11505,16:02:36
11506,2023-07-21,L001,92.92,8.45,84.47,BE-11506,13:19:29
11507,2023-07-21,L001,497.62,45.24,452.38,BE-11507,20:23:20
11508,2023-07-21,L001,304.69,27.70,276.99,BE-11508,18:41:56
11509,2023-07-21,L001,504.13,45.83,458.30,BE-11509,16:20:19
11510,2023-07-21,L001,443.10,40.28,402.82,BE-11510,11:35:00
11511,2023-07-21,L002,481.04,43.73,437.31,BE-11511,14:27:27
11512,2023-07-21,L002,346.29,31.48,314.81,BE-11512,17:27:25
11513,2023-07-21,L002,72.91,6.63,66.28,BE-11513,16:08:46
11514,2023-07-21,L003,189.06,17.19,171.87,BE-11514,20:38:04
11515,2023-07-21,L003,279.26,25.39,253.87,BE-11515,20:10:37
11516,2023-07-22,L001,345.91,31.45,314.46,BE-11516,10:57:35
11517,2023-07-22,L001,441.35,40.12,401.23,BE-11517,14:03:16
11518,2023-07-22,L001,292.87,26.62,266.25,BE-11518,10:18:06
11519,2023-07-22,L002,404.81,36.80,368.01,BE-11519,21:08:28
11520,2023-07-22,L002,190.43,17.31,173.12,BE-11520,15:43:04
11521,2023-07-22,L002,281.85,25.62,256.23,BE-11521,18:09:28
11522,2023-07-22,L003,142.43,12.95,129.48,BE-11522,10:16:33
11523,2023-07-22,L003,173.68,15.79,157.89,BE-11523,12:19:38
11524,2023-07-23,L001,22.35,2.03,20.32,BE-11524,19:40:45
11525,2023-07-23,L001,70.15,6.38,63.77,BE-11525,14:39:33
11526,2023-07-23,L001,338.96,30.81,308.15,BE-11526,15:00:44
11527,2023-07-23,L001,29.80,2.71,27.09,BE-11527,20:36:32
11528,2023-07-24,L001,186.27,16.93,169.34,BE-11528,19:52:10
11529,2023-07-24,L001,522.87,47.53,475.34,BE-11529,12:30:40
11530,2023-07-24,L001,24.48,2.23,22.25,BE-11530,17:04:57
11531,2023-07-24,L001,366.85,33.35,333.50,BE-11531,14:01:59
11532,2023-07-24,L001,428.51,38.96,389.55,BE-11532,11:21:54
11533,2023-07-24,L002,258.81,23.53,235.28,BE-11533,16:53:23
11534,2023-07-24,L002,48.25,4.39,43.86,BE-11534,11:58:38
11535,2023-07-24,L002,43.04,3.91,39.13,BE-11535,17:42:26
11536,2023-07-24,L002,464.07,42.19,421.88,BE-11536,11:45:37
11537,2023-07-24,L003,76.21,6.93,69.28,BE-11537,13:43:46
11538,2023-07-24,L003,480.40,43.67,436.73,BE-11538,11:44:22
11539,2023-07-24,L003,374.95,34.09,340.86,BE-11539,12:10:06
11540,2023-07-25,L001,492.92,44.81,448.11,BE-11540,14:04:09
11541,2023-07-25,L001,440.17,40.02,400.15,BE-11541,16:53:12
11542,2023-07-25,L002,127.53,11.59,115.94,BE-11542,18:52:10
11543,2023-07-25,L002,285.69,25.97,259.72,BE-11543,15:14:51
11544,2023-07-25,L002,525.29,47.75,477.54,BE-11544,16:20:37
11545,2023-07-25,L002,130.97,11.91,119.06,BE-11545,20:36:52
11546,2023-07-25,L003,193.53,17.59,175.94,BE-11546,16:03:35
11547,2023-07-25,L003,397.24,36.11,361.13,BE-11547,12:42:11
11548,2023-07-25,L003,242.07,22.01,220.06,BE-11548,12:46:06
11549,2023-07-25,L003,314.14,28.56,285.58,BE-11549,20:46:24
11550,2023-07-25,L003,29.66,2.70,26.96,BE-11550,20:18:01
11551,2023-07-26,L001,373.00,33.91,339.09,BE-11551,15:05:15
11552,2023-07-26,L001,371.76,33.80,337.96,BE-11552,21:19:54
11553,2023-07-26,L001,320.34,29.12,291.22,BE-11553,13:33:24
11554,2023-07-26,L002,471.19,42.84,428.35,BE-11554,16:49:43
11555,2023-07-26,L002,288.52,26.23,262.29,BE-11555,20:40:31
11556,2023-07-26,L002,214.57,19.51,195.06,BE-11556,15:43:49
11557,2023-07-26,L002,276.56,25.14,251.42,BE-11557,10:54:51
11558,2023-07-27,L001,368.92,33.54,335.38,BE-11558,11:12:41
11559,2023-07-27,L002,88.17,8.02,80.15,BE-11559,19:38:26
11560,2023-07-27,L002,333.83,30.35,303.48,BE-11560,21:15:40
11561,2023-07-27,L002,475.38,43.22,432.16,BE-11561,20:44:23
11562,2023-07-27,L002,535.48,48.68,486.80,BE-11562,17:33:47
11563,2023-07-28,L001,244.67,22.24,222.43,BE-11563,21:16:41
11564,2023-07-28,L001,451.44,41.04,410.40,BE-11564,16:16:21
11565,2023-07-28,L001,435.04,39.55,395.49,BE-11565,18:15:52
11566,2023-07-28,L001,469.31,42.66,426.65,BE-11566,12:54:01
11567,2023-07-28,L002,138.85,12.62,126.23,BE-11567,18:53:19
11568,2023-07-28,L002,236.89,21.54,215.35,BE-11568,14:40:35
11569,2023-07-28,L002,524.93,47.72,477.21,BE-11569,21:00:01
11570,2023-07-28,L003,467.92,42.54,425.38,BE-11570,19:30:08
11571,2023-07-28,L003,304.44,27.68,276.76,BE-11571,14:05:06
11572,2023-07-28,L003,194.79,17.71,177.08,BE-11572,17:20:39
11573,2023-07-28,L003,201.08,18.28,182.80,BE-11573,11:06:13
11574,2023-07-29,L001,375.17,34.11,341.06,BE-11574,19:55:54
11575,2023-07-29,L001,273.92,24.90,249.02,BE-11575,17:28:50
11576,2023-07-29,L001,168.94,15.36,153.58,BE-11576,14:38:03
11577,2023-07-29,L001,37.03,3.37,33.66,BE-11577,20:52:14
11578,2023-07-29,L001,488.10,44.37,443.73,BE-11578,18:32:07
11579,2023-07-29,L002,346.62,31.51,315.11,BE-11579,14:44:29
11580,2023-07-29,L002,188.34,17.12,171.22,BE-11580,16:42:40
11581,2023-07-29,L002,426.34,38.76,387.58,BE-11581,18:19:57
11582,2023-07-29,L002,493.35,44.85,448.50,BE-11582,21:54:56
11583,2023-07-29,L003,133.95,12.18,121.77,BE-11583,18:27:17
11584,2023-07-29,L003,388.26,35.30,352.96,BE-11584,20:58:49
11585,2023-07-29,L003,25.89,2.35,23.54,BE-11585,11:22:23
11586,2023-07-29,L003,404.52,36.77,367.75,BE-11586,12:18:02
11587,2023-07-29,L003,360.22,32.75,327.47,BE-11587,11:22:37
11588,2023-07-30,L001,279.58,25.42,254.16,BE-11588,14:07:51
11589,2023-07-30,L001,117.43,10.68,106.75,BE-11589,19:56:14
11590,2023-07-30,L001,507.50,46.14,461.36,BE-11590,20:55:46
11591,2023-07-30,L001,518.32,47.12,471.20,BE-11591,11:12:21
11592,2023-07-30,L002,526.77,47.89,478.88,BE-11592,19:07:34
11593,2023-07-30,L002,543.53,49.41,494.12,BE-11593,12:51:54
11594,2023-07-30,L002,250.61,22.78,227.83,BE-11594,16:33:22
11595,2023-07-30,L003,69.77,6.34,63.43,BE-11595,18:49:06
11596,2023-07-31,L001,37.73,3.43,34.30,BE-11596,14:58:50
11597,2023-07-31,L003,51.49,4.68,46.81,BE-11597,16:37:57
11598,2023-08-01,L001,507.30,46.12,461.18,BE-11598,16:13:26
11599,2023-08-01,L001,545.21,49.56,495.65,BE-11599,18:19:54
11600,2023-08-01,L003,340.65,30.97,309.68,BE-11600,18:28:40
11601,2023-08-01,L003,512.41,46.58,465.83,BE-11601,13:33:32
11602,2023-08-02,L001,502.74,45.70,457.04,BE-11602,18:58:53
11603,2023-08-02,L002,309.02,28.09,280.93,BE-11603,12:49:08
11604,2023-08-02,L002,322.52,29.32,293.20,BE-11604,11:35:44
11605,2023-08-02,L002,453.72,41.25,412.47,BE-11605,10:13:30
11606,2023-08-02,L002,35.82,3.26,32.56,BE-11606,19:10:11
11607,2023-08-02,L002,446.71,40.61,406.10,BE-11607,17:23:31
11608,2023-08-02,L003,194.26,17.66,176.60,BE-11608,21:26:57
11609,2023-08-02,L003,81.65,7.42,74.23,BE-11609,20:34:12
11610,2023-08-02,L003,265.62,24.15,241.47,BE-11610,15:24:11
11611,2023-08-03,L001,309.30,28.12,281.18,BE-11611,18:32:11
11612,2023-08-03,L003,145.42,13.22,132.20,BE-11612,21:50:52
11613,2023-08-03,L003,291.32,26.48,264.84,BE-11613,16:10:13
11614,2023-08-03,L003,193.67,17.61,176.06,BE-11614,15:33:00
11615,2023-08-04,L001,500.36,45.49,454.87,BE-11615,12:19:38
11616,2023-08-04,L001,545.11,49.56,495.55,BE-11616,21:28:21
11617,2023-08-04,L002,451.28,41.03,410.25,BE-11617,16:28:28
11618,2023-08-04,L002,425.28,38.66,386.62,BE-11618,19:06:44
11619,2023-08-04,L003,252.67,22.97,229.70,BE-11619,18:07:10
11620,2023-08-05,L001,319.77,29.07,290.70,BE-11620,18:21:29
11621,2023-08-05,L001,72.33,6.58,65.75,BE-11621,11:17:39
11622,2023-08-05,L001,211.76,19.25,192.51,BE-11622,14:09:09
11623,2023-08-05,L001,99.83,9.08,90.75,BE-11623,20:25:11
11624,2023-08-05,L002,298.80,27.16,271.64,BE-11624,20:54:00
11625,2023-08-05,L002,278.79,25.34,253.45,BE-11625,18:36:40
11626,2023-08-05,L002,470.39,42.76,427.63,BE-11626,15:40:58
11627,2023-08-05,L002,406.40,36.95,369.45,BE-11627,18:14:44
11628,2023-08-06,L001,39.38,3.58,35.80,BE-11628,11:54:51
11629,2023-08-06,L001,132.68,12.06,120.62,BE-11629,14:00:31
11630,2023-08-06,L001,414.40,37.67,376.73,BE-11630,20:45:35
11631,2023-08-06,L001,409.82,37.26,372.56,BE-11631,20:43:53
11632,2023-08-06,L002,470.29,42.75,427.54,BE-11632,19:38:52
11633,2023-08-06,L002,531.25,48.30,482.95,BE-11633,15:15:12
11634,2023-08-06,L002,252.16,22.92,229.24,BE-11634,11:53:51
11635,2023-08-06,L002,331.68,30.15,301.53,BE-11635,19:53:30
11636,2023-08-06,L002,527.21,47.93,479.28,BE-11636,12:54:23
11637,2023-08-06,L003,79.19,7.20,71.99,BE-11637,21:33:57
11638,2023-08-07,L001,406.40,36.95,369.45,BE-11638,13:10:25
11639,2023-08-07,L002,364.42,33.13,331.29,BE-11639,12:41:01
11640,2023-08-07,L003,28.83,2.62,26.21,BE-11640,15:57:31
11641,2023-08-07,L003,287.35,26.12,261.23,BE-11641,15:59:27
11642,2023-08-07,L003,85.30,7.75,77.55,BE-11642,11:07:45
11643,2023-08-07,L003,36.45,3.31,33.14,BE-11643,12:52:06
11644,2023-08-07,L003,522.21,47.47,474.74,BE-11644,14:46:06
11645,2023-08-08,L001,390.34,35.49,354.85,BE-11645,13:54:50
11646,2023-08-08,L001,303.16,27.56,275.60,BE-11646,18:05:04
11647,2023-08-08,L001,130.04,11.82,118.22,BE-11647,20:15:31
11648,2023-08-08,L001,466.75,42.43,424.32,BE-11648,21:01:40
11649,2023-08-08,L001,272.81,24.80,248.01,BE-11649,10:29:53
11650,2023-08-08,L002,226.54,20.59,205.95,BE-11650,16:06:44
11651,2023-08-08,L002,286.89,26.08,260.81,BE-11651,13:37:30
11652,2023-08-08,L002,253.66,23.06,230.60,BE-11652,17:02:31
11653,2023-08-08,L003,272.93,24.81,248.12,BE-11653,12:58:10
11654,2023-08-08,L003,467.98,42.54,425.44,BE-11654,17:45:40
11655,2023-08-09,L002,96.07,8.73,87.34,BE-11655,12:15:53
11656,2023-08-09,L002,262.92,23.90,239.02,BE-11656,15:48:41
11657,2023-08-09,L002,403.94,36.72,367.22,BE-11657,14:19:51
11658,2023-08-09,L003,173.17,15.74,157.43,BE-11658,11:15:54
11659,2023-08-09,L003,68.06,6.19,61.87,BE-11659,14:50:07
11660,2023-08-09,L003,495.83,45.08,450.75,BE-11660,17:47:42
11661,2023-08-09,L003,475.35,43.21,432.14,BE-11661,15:48:09
11662,2023-08-10,L001,365.12,33.19,331.93,BE-11662,15:10:23
11663,2023-08-10,L001,320.87,29.17,291.70,BE-11663,15:42:59
11664,2023-08-10,L002,54.77,4.98,49.79,BE-11664,17:58:02
11665,2023-08-10,L003,523.27,47.57,475.70,BE-11665,10:57:40
11666,2023-08-10,L003,70.21,6.38,63.83,BE-11666,19:31:45
11667,2023-08-10,L003,484.12,44.01,440.11,BE-11667,19:04:18
11668,2023-08-11,L001,104.42,9.49,94.93,BE-11668,13:53:42
11669,2023-08-11,L001,119.15,10.83,108.32,BE-11669,18:11:23
11670,2023-08-11,L001,425.67,38.70,386.97,BE-11670,11:08:45
11671,2023-08-11,L001,548.88,49.90,498.98,BE-11671,18:54:15
11672,2023-08-11,L001,204.50,18.59,185.91,BE-11672,18:08:33
11673,2023-08-11,L002,491.77,44.71,447.06,BE-11673,15:10:31
11674,2023-08-11,L002,504.17,45.83,458.34,BE-11674,13:26:26
11675,2023-08-12,L001,182.56,16.60,165.96,BE-11675,10:32:46
11676,2023-08-12,L001,228.64,20.79,207.85,BE-11676,16:48:43
11677,2023-08-12,L003,395.88,35.99,359.89,BE-11677,13:09:02
11678,2023-08-12,L003,110.52,10.05,100.47,BE-11678,15:00:31
11679,2023-08-13,L001,123.27,11.21,112.06,BE-11679,11:06:10
11680,2023-08-13,L001,536.02,48.73,487.29,BE-11680,15:02:46
11681,2023-08-15,L001,214.40,19.49,194.91,BE-11681,13:34:43
11682,2023-08-15,L001,271.93,24.72,247.21,BE-11682,20:23:40
11683,2023-08-15,L001,202.80,18.44,184.36,BE-11683,16:08:12
11684,2023-08-15,L001,269.12,24.47,244.65,BE-11684,15:37:24
11685,2023-08-15,L002,346.59,31.51,315.08,BE-11685,20:35:39
11686,2023-08-15,L002,179.66,16.33,163.33,BE-11686,19:49:37
11687,2023-08-15,L003,179.04,16.28,162.76,BE-11687,14:19:40
11688,2023-08-16,L001,268.24,24.39,243.85,BE-11688,14:16:49
11689,2023-08-16,L002,333.54,30.32,303.22,BE-11689,13:18:40
11690,2023-08-16,L002,108.77,9.89,98.88,BE-11690,21:45:04
11691,2023-08-16,L002,39.18,3.56,35.62,BE-11691,18:01:29
11692,2023-08-16,L002,331.56,30.14,301.42,BE-11692,10:56:24
11693,2023-08-16,L002,257.97,23.45,234.52,BE-11693,16:58:26
11694,2023-08-17,L001,514.16,46.74,467.42,BE-11694,17:46:38
11695,2023-08-17,L001,196.15,17.83,178.32,BE-11695,13:04:49
11696,2023-08-17,L001,170.03,15.46,154.57,BE-11696,12:09:08
11697,2023-08-17,L001,399.51,36.32,363.19,BE-11697,21:04:15
11698,2023-08-17,L002,273.56,24.87,248.69,BE-11698,11:48:28
11699,2023-08-17,L002,72.82,6.62,66.20,BE-11699,11:25:54
11700,2023-08-17,L002,181.98,16.54,165.44,BE-11700,20:49:51
11701,2023-08-17,L002,137.30,12.48,124.82,BE-11701,10:31:26
11702,2023-08-18,L001,297.75,27.07,270.68,BE-11702,19:32:04
11703,2023-08-18,L001,524.08,47.64,476.44,BE-11703,13:22:27
11704,2023-08-18,L001,231.35,21.03,210.32,BE-11704,14:15:01
11705,2023-08-18,L003,312.82,28.44,284.38,BE-11705,15:41:18
11706,2023-08-18,L003,502.28,45.66,456.62,BE-11706,16:21:32
11707,2023-08-18,L003,217.24,19.75,197.49,BE-11707,17:42:24
11708,2023-08-18,L003,108.54,9.87,98.67,BE-11708,11:08:56
11709,2023-08-18,L003,327.06,29.73,297.33,BE-11709,16:50:22
11710,2023-08-19,L001,42.56,3.87,38.69,BE-11710,20:32:21
11711,2023-08-19,L001,231.67,21.06,210.61,BE-11711,17:20:04
11712,2023-08-20,L001,222.38,20.22,202.16,BE-11712,14:46:17
11713,2023-08-20,L001,395.56,35.96,359.60,BE-11713,20:51:26
11714,2023-08-20,L001,416.79,37.89,378.90,BE-11714,13:29:31
11715,2023-08-20,L003,403.96,36.72,367.24,BE-11715,20:05:41
11716,2023-08-20,L003,548.27,49.84,498.43,BE-11716,17:03:56
11717,2023-08-20,L003,376.11,34.19,341.92,BE-11717,12:37:18
11718,2023-08-20,L003,65.95,6.00,59.95,BE-11718,14:27:35
11719,2023-08-20,L003,221.87,20.17,201.70,BE-11719,19:57:03
11720,2023-08-21,L001,501.78,45.62,456.16,BE-11720,15:24:30
11721,2023-08-21,L001,185.60,16.87,168.73,BE-11721,16:56:34
11722,2023-08-21,L001,56.67,5.15,51.52,BE-11722,17:56:34
11723,2023-08-21,L002,68.35,6.21,62.14,BE-11723,18:30:15
11724,2023-08-21,L002,323.84,29.44,294.40,BE-11724,21:07:45
11725,2023-08-21,L002,419.32,38.12,381.20,BE-11725,11:05:27
11726,2023-08-21,L002,403.72,36.70,367.02,BE-11726,14:40:21
11727,2023-08-21,L002,172.56,15.69,156.87,BE-11727,21:37:27
11728,2023-08-21,L003,510.68,46.43,464.25,BE-11728,18:51:51
11729,2023-08-21,L003,363.06,33.01,330.05,BE-11729,20:31:33
11730,2023-08-21,L003,469.13,42.65,426.48,BE-11730,18:47:23
11731,2023-08-21,L003,301.93,27.45,274.48,BE-11731,10:24:20
11732,2023-08-21,L003,305.80,27.80,278.00,BE-11732,19:38:31
11733,2023-08-22,L001,396.30,36.03,360.27,BE-11733,13:43:51
